Scenario;ID;Slice;pri;Capacity; VID; LVD; FDO; SSH; VIP; cVP; cF; cLV ;cAVG;;;;;;
S3-8;1;8;2;1;0;0;0;100;0;0.00;0.00;0.00;0.00;;;;;;
S3;1;8;2;0.05;100;100;100;100;97.67;55.155;100;22.2;59.1183333333333;;;;;;
S3;1;8;2;0.1;100;100;100;100;96.01;0;50.00;0.00;16.6666666666667;;;;;;
S3;1;8;2;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S3;1;8;2;0.2;100;100;100;99.66;97.03;0;0.00;0.00;0;;;;;;
S3;1;8;2;0.3;97;43.2;100;98.59;95.71;0;0.00;0.00;0;;;;;;
S3;1;8;2;0.4;1.5;24.3;100;92.81;38.94;0;0.00;0.00;0;;;;;;
S3;1;8;2;0.8;0;0;80;14.06;0;0;0.00;0.00;0;;;;;;
S4-C1-N1;2;2;2;1;0;0;0;99.11;99.47;98.93;0.00;0;32.9766666666667;;;;;;
S4;2;2;2;0.05;100;100;100;100;98.53;99.99;80;100;93.33;;;;;;
S4;2;2;2;0.1;100;100;100;100.0;99.66;99.75;0;16.67;38.8066666666667;;;;;;
S4;2;2;2;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S4;2;2;2;0.2;100;100;100;100.0;99.98;99.09;0.00;0.00;33.03;;;;;;
S4;2;2;2;0.3;88.89;100;100;100.0;99.97;99.12;0.00;0.00;33.04;;;;;;
S4;2;2;2;0.4;12.59;100;100;100;99.95;98.98;0.00;0.00;32.9933333333333;;;;;;
S4;2;2;2;0.8;0;29.73;0;99.77;99.71;98.98;0.00;0.00;32.9933333333333;;;;;;
S5-C3-N1;3;4;2;1;0;0;0;99.1;99.44;0.00;0;0;0;;;;;;
S5;3;4;2;0.05;100;100;100;100;98.54;62.01;100;27.8;63.27;;;;;;
S5;3;4;2;0.1;100;100;100;100;99.68;0;45;0;15;;;;;;
S5;3;4;2;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S5;3;4;2;0.2;100;100;100;100;99.98;0;0.00;0.00;0;;;;;;
S5;3;4;2;0.3;71.1;100;100;100;99.96;0;0.00;0.00;0;;;;;;
S5;3;4;2;0.4;5.2;100;98.3;100;99.95;0;0.00;0.00;0;;;;;;
S5;3;4;2;0.8;0;27;0;99.86;99.60;0;0.00;0.00;0;;;;;;
S6-D1-T1;4;2;2;1;0;2.7;0;0.00;0.00;0.00;0.00;0.00;0;;;;;;
S6;4;2;2;0.05;100;100;100;99.4;99.18;98.85;100;100;99.6166666666667;;;;;;
S6;4;2;2;0.1;100;100;100;92.42;98.60;98.06;100;100;99.3533333333333;;;;;;
S6;4;2;2;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S6;4;2;2;0.2;84.4;100;100;84.07;97.51;97.05;100;100;99.0166666666667;;;;;;
S6;4;2;2;0.3;0;100;100;86.95;95.84;95.93;100;100;98.6433333333333;;;;;;
S6;4;2;2;0.4;0;100;98.3;64.31;57.87;56.36;90.00;100;82.12;;;;;;
S6;4;2;2;0.8;0;24.3;0;0.00;0.00;0.00;0.00;11.11;3.70333333333333;;;;;;
S7-DC1-TC1-DN1-TN1;5;4;4;1;0;0;0;0.00;0.00;0.00;0.00;0.00;0;;;;;;
S7;5;4;4;0.05;100;100;100;100;97.56;95.01;80;100;91.67;;;;;;
S7;5;4;4;0.1;100;100;100;99.27;95.46;0;0.00;16.67;5.55666666666667;;;;;;
S7;5;4;4;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S7;5;4;4;0.2;100;100;100;91.90;97.59;0;0.00;0.00;0;;;;;;
S7;5;4;4;0.3;87.4;100;100;85.32;95.93;0;0.00;0.00;0;;;;;;
S7;5;4;4;0.4;0;100;100;79.83;64.90;0;0.00;0.00;0;;;;;;
S7;5;4;4;0.8;0;24.3;0;0.0;0.0;0;0.0;0.0;0;;;;;;
S8-8;6;8;4;1;0;0;0;0;0;0;0;0;0;;;;;;
S8;6;8;4;0.05;100;100;100;100;97.56;45.85;100;16.7;54.1833333333333;;;;;;
S8;6;8;4;0.1;100;100;100;98.7;95.16;0;0;0;0;;;;;;
S8;6;8;4;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S8;6;8;4;0.2;100;100;100;98.7;97.33;0;0;0;0;;;;;;
S8;6;8;4;0.3;97;48.6;100;97;95.08;0;0;0;0;;;;;;
S8;6;8;4;0.4;2.2;18.9;100;89.2;43.21;0;0;0;0;;;;;;
S8;6;8;4;0.8;0;0;80;14.1;0;0;0;0;0;;;;;;
S9-C3-N1;7;4;2;1;0;0;0;99.1;99.43;0;0;0;0;;;;;;
S9;7;4;2;0.05;100;100;100;100;98.54;60.23;100;16.7;58.9766666666667;;;;;;
S9;7;4;2;0.1;100;100;100;100;99.68;0;35;0;11.6666666666667;;;;;;
S9;7;4;2;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S9;7;4;2;0.2;100;100;100;100;99.98;0;0;0;0;;;;;;
S9;7;4;2;0.3;74.1;100;100;100;99.96;0;0;0;0;;;;;;
S9;7;4;2;0.4;10.4;100;100;100;99.95;0;0;0;0;;;;;;
S9;7;4;2;0.8;0;24.3;0;99.8;99.63;0;0;0;0;;;;;;
S10-DC1-TC1-DN1-TN1;8;4;2;1;0;0;0;0;0;0;0;0;0;;;;;;
S10;8;4;2;0.05;100;100;100;100;97.6;94.99;75;100;89.9966666666667;;;;;;
S10;8;4;2;0.1;100;100;100;99.9;95.80;0;0;27.8;9.26666666666667;;;;;;
S10;8;4;2;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S10;8;4;2;0.2;100;100;100;97.3;97.35;0;0;0;0;;;;;;
S10;8;4;2;0.3;86.7;100;100;94.5;96.6;0;0;0;0;;;;;;
S10;8;4;2;0.4;0;100;100;76.3;65.14;0;0;0;0;;;;;;
S10;8;4;2;0.8;0;21.6;0;0;0;0;0;0;0;;;;;;
S11-8;9;8;3;1;0;0;0;0;0;0;0;0;0;;;;;;
S11;9;8;3;0.05;100;100;100;100;97.67;37.16;100;16.7;51.2866666666667;;;;;;
S11;9;8;3;0.1;100;100;100;100;96.01;0;50;0;16.6666666666667;;;;;;
S11;9;8;3;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S11;9;8;3;0.2;100.0;100.0;100.0;99.7;97.20;0;0;0;0;;;;;;
S11;9;8;3;0.3;97.03703703703704;45.94594594594595;100.0;98.6;95.41;0;0;0;0;;;;;;
S11;9;8;3;0.4;0.0;24.324324324324326;100.0;93.6;30.25;0;0;0;0;;;;;;
S11;9;8;3;0.8;0.0;0.0;80.0;14.3;0.0;0;0;0;0;;;;;;
S12-DC1-TC1-DN1-TN1;10;4;3;1;0;0;0;0;0;0;0;0;0;;;;;;
S12;10;4;3;0.05;100;100;100;100;97.59;95.09;75;100;90.03;;;;;;
S12;10;4;3;0.1;100;100;100;99.8;95.69;0;0;22.2;7.4;;;;;;
S12;10;4;3;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S12;10;4;3;0.2;100;100;100;97.4;97.39;0;0;0;0;;;;;;
S12;10;4;3;0.3;88.1;100;100;93.5;95.90;0;0;0;0;;;;;;
S12;10;4;3;0.4;0;100;100;80.6;73.07;0;0;0;0;;;;;;
S12;10;4;3;0.8;0;24.3;0;0;0;0;0;0;0;;;;;;